,index,title,dates,article,apply_date,ratio,up/down
97,97,경향신문 서울마라톤 D  출발  시간 전 간단하게 식사,2006.04.13 18:08,[ 만여명이 참가하는 시민 마라톤 대축제  탁 트인 서울 강변북로 코스를 달리는 제 회 경향신문 마라톤대회 협찬 KT G POSCO 외환은행 대한생명 GS건설  공식의류 험멜코리아 가 이틀 앞으로 다가왔다  마라톤대회에 처음 출전하는 초보자들은 설레고 긴장된 마음에 들떠 있기 쉽다  차분하고 꼼꼼하게 마무리 준비를 해야 건강하고 안전한 달리기를 즐길 수 있다  이번 대회 각 코스 시간대별로 페이스메이커 자원봉사에 나서는 광화문마라톤모임 www kwanghwamun com 의 도움말로 대회 직전과 레이스 도중 유의할 점을 알아본다   최상의 컨디션을 유지하려면 과로는 금물이다  음주 흡연도 삼가야 한다  대회 직전에 몸을 지치게 하면 심장 폐 간 등에 피로가 쌓여 레이스에 부담이 가중되고 안전사고 위험도 커진다   대회 직전 이틀 동안은 레이스 훈련 대신 가벼운 조깅과 스트레칭만으로 몸을 풀어주는 게 좋다  뭉친 근육 부위가 없도록 마사지를 충분히 해두는 게 중요하다   레이스 복장 옷 모자 장갑 등 은 대회 당일 날씨에 맞춰 알맞게 골라야 한다  운동화는 가장 신경써야 한다  발가락 끝과 신발 사이에 손가락 하나 들어갈 정도의 길이로 꽉 조이지 않는 신발이 편하다  공기가 잘 통하고 발바닥 쿠션이 두툼한 마라톤화나 조깅화를 택하면 된다  새 운동화는 부상을 유발할 수 있으므로 최소한  주일 이상 길들여 놓은 신발을 착용하는 게 낫다   시계 코스지도 유니폼 배번 및 옷핀 마라톤 칩 선크림 레이스 후 갈아입을 옷 양말 등 준비물을 미리 싸둔 뒤 일찌감치 숙면을 취하는 것도 쾌조의 컨디션을 유지하는 길이다   최고의 레이스를 펼치려면 대회 당일인  일 레이스 출발 시간은 오전  시  참가자들은  시간 전인 오전  시 이전에 출발 집결지인 서울 상암동 월드컵공원에 도착해야 한다  출발  시간 전인 오전  시쯤 밥 약식 찹쌀떡 고구마 등 소화가 잘되는 음식으로 아침 식사를 하는 게 좋다  출발  분 전까지 대회장 인근에서 간단한 조깅으로 땀을 낸 뒤 체조와 스트레칭으로 몸을 푼다  물을 많이 마시면 레이스에 지장을 줄 수 있다  용변도  분 전까지 마치는 게 낫다   레이스중 호흡은 입을 가볍게 벌린 채 코와 입으로 동시에 하는 게 편하다   마다 제공되는 물 또는 이온음료는 가급적 거르지 않고 조금씩이라도 마셔야 한다   파워젤 초콜릿 등 간식을 넣고 뛰다 허기질 때 먹어도 되지만 소화능력이 저하된 상태에서 갑자기 먹으면 구토가 날 수도 있으니 조심해야 한다  오르막 구간은 상체를 숙이고 보폭을 줄인 가운데 무릎을 약간 구부리고 발뒤꿈치를 살짝 들어올리면서 뛰는 게 요령이다  내리막 구간에서는 보폭을 일부러 넓히지 말고 무릎 충격을 줄이면서 달려야 한다  결승선을 통과한 뒤에는 반드시 마무리 운동과 스트레칭을 해야 안전하게 레이스를 마감할 수 있다   차준철기자 cheol kyunghyang com ],2006-04-14,5.68,1.0
98,98, 내일 아침 월드컵공원서 만나요  서울마라톤대회,2006.04.14 18:09,[ 화창한 봄날  시원한 한강의 바람을 가르며 서울을 달린다   최고의 시민 마라톤 대축제인 제 회 경향신문 서울마라톤대회 협찬 KT G POSCO 외환은행 대한생명 GS건설  공식의류 험멜코리아 가  일 서울 강변북로 코스에서 열린다   상암동 서울월드컵경기장 인근 월드컵공원을 출발해 새로 공인된 강변북로 코스 구리 방향 를 달리는 이번 대회에는 풀코스 하프코스 코스 등  개 부문에서 총  만 천여명의 시민 마라토너들이 출전해 힘찬 레이스를 펼친다  오전  시 풀코스 참가자들이 맨 앞에서 스타트를 끊은 뒤  분씩의 시차를 두고 하프   코스 출전자들이 뒤를 잇는다   대회 당일 날씨는  흐린 후 갬 으로 예보됐다  기온은 아침 최저  도  낮 최고  도로 예년과 비슷하다  레이스가 진행되는 오전  시 오후  시대에는  도로 마라톤을 즐기는 데 최적의 조건이다  출발 직후에는 다소 쌀쌀한 기운이 돌 수 있으나 한강변 대로에 접어들면 화사한 봄 햇살을 맞으며 달릴 수 있다   확 트인 한강을 따라 널찍한 자동차 전용도로를 마음껏 달리는 이번 코스는 표고차가 심하지 않아 무난하고 편안한 레이스를 펼칠 수 있을 전망이다   관중의 도로변 접근이 불가능해 연도의 응원이 없는 점이 아쉽지만 대회 주최측은 각 코스별 반환점에 풍물패 자원봉사단을 배치해 달림이들의 지루함을 달래며 흥을 돋울 계획이다    구간마다 설치되는 급수 스폰지대 인근에서는  여명의 고등학생 자원봉사자들이 나서 응원전을 펼친다   참가자들은 강변북로 구리방향 가양대교 청담대교 구간의 교통통제가 시작되는 오전  시 이전에 출발지에 도착하는 게 좋다  현장에서 가볍게 몸을 푼 뒤  시 분까지 준비를 마치고 출발 대기선에 모여야 한다   주차장은 혼잡할 수 있으니 가급적 대중교통편으로 가는 게 낫다  지하철  호선 월드컵경기장역  번 출구  마포구청역  번 출구에서 가깝다   차준철기자 cheol kyunghyang com ],2006-04-17,-1.6,0.0
99,99,[경향 서울마라톤 붉은 물결  서울의 봄  수놓다,2006.04.16 18:06,[ 청명한 하늘  시원한 바람  확 트인 주로   서울 강변북로를 가득 메운  만 천여 시민 마라토너들은 온몸으로 봄 기운을 느끼며 상쾌한 달리기를 만끽했다  가족 친구 동료와 함께 가는 길  우정과 화합의 레이스에 나선 것만으로도 기쁘고 즐거웠다  완주 목표를 달성한 달림이들은 무엇과도 바꿀 수 없는 성취감을 선물로 안았다   국내 최고 수준의 마스터스 마라톤 대축제인 제 회 경향신문 서울마라톤대회 협찬 KT G POSCO 외환은행 대한생명 GS건설  공식의류 험멜코리아 가  일 서울 강변북로 코스에서 열렸다  오전  시 상암동 월드컵공원을 출발한 시민 건각들은 청담대교 풀코스  한강대교 하프코스  서강대교 코스  반환점을 돌아오며 서울과 한강의 봄을 호흡했다   예년보다 다소 낮은  도의 오전 날씨  서늘한 바람까지 불어 출발선에서는 쌀쌀함을 느낄 만했다  하지만 건강한 에너지가 넘치는 시민 달림이들은 이에 아랑곳하지 않은 채 힘찬 레이스를 펼쳤다   출발선 대회장에는 경향신문 구운회 대표이사를 비롯  열린우리당 정동영 의장 민주당 한화갑 대표 로버트 팰런 외환은행 이사회 의장 황중연 우정사업본부장 등이 참석해 스타트 터치버튼을 누르며 건강한 시민 레이스를 축하했다   대 한민국  함성을 힘모아 외친 뒤 오색 폭죽 출발 신호와 함께 강변북로 코스에 접어든 참가자들은 이내 거대한 붉은 물결을 이뤘다  출전자에게 제공된 대회 유니폼뿐 아니라  여명이 단체로 참가한 우정사업본부  외환은행 동호회원들의 유니폼 또한 붉은 색이었다   대회 하이라이트인 풀코스 남자부 레이스에서는 지난해 우승자인 아프리카 부룬디 출신인 부징고 도나티엔 위아 이  시간 분 초에 제일 먼저 결승선을 끊어  연패를 달성했다  여자부에서는  시간 분 초를 기록한 오숙정씨 가 우승 트로피를 안았다   하프코스 남자부  위는 마스터스 마라톤  고수 로 잘 알려진 신동역씨  여자부  위는 지난해   우승자인 일본인 후지타 에미 가 차지했다   차준철기자 cheol kyunghyang com ],2006-04-17,-1.6,0.0
100,100, 월 일,2006.04.17 18:08,[ 박종생 유림공영 회장 별세  갑석씨 자영업 성수 유림공영 영업팀장 순자 유림공영 대표이사 부친상 일 오전  시 분 삼성서울병원  발인  일 오전  시    공이규 전 전국 좌석 화물 택시조합 이사장 별세  진열 현대SEWING 대표 진방 서진해상 대표 진덕 희훈종합건설 전무 부친상 일 오전  시 삼성서울병원  발인  일 오전  시    정기우 전 여수수산대 교수 별세  국현 삼성전자 전무 도현씨 재미 순현 신동아화재 홍보팀장 부친상 일 오후  시 삼성서울병원  발인  일 오전    이상철씨 자영업  모친상  용섭 GS건설 홍보팀장 조모상 일 오전  시 온양 장례식장  발인  일 오전  시    권순민 조선호텔 인디키친 도곡점장 순진씨 회사원  부친상  혁부 전 KBS 대구방송 총국장 동생상  정옥진 안산시청 단원구청 직원 장인상 일 오전  시 서울 보훈병원  발인  일 오전  시 분    김경수 ACME 대표이사 범수 연합뉴스 산업부 기자 모친상 일 오후  시 강남성모병원  발인  일 오후  시  ],2006-04-18,1.03,0.0
101,101, 이런 주식이 명품  굿모닝신한증권  ,2006.04.18 17:36,[ 주식에도 대물림할 만한 명품 이 있다   굿모닝신한증권은  일  명품 주식은 경기부침과 관계없이 지속적으로 가치를 증대시키고  주식수가 많지 않은 희소성을 지녀 장기 보유하거나 자식들에게 대물림해도 괜찮은 주식 이라면서  명품주식  선 을 제시했다  정의석 투자분석부장은  명품 주식은 단순히 이익의 절대규모가 증가하는 게 아니라 주가에  대  로 대응되는 주당순이익 EPS 이 추세적으로 높아지는 주식 이라고 설명했다   이같은 기준에 따라 올해  월말 현재 유가증권시장에 상장돼 있는  개 기업 가운데  년 흑자기조를 유지하면서 최소한  년 이상 연속해서 EPS가 증가한 기업  개를 선별했다  최근 상장된 종목과 자본금의 규모가 지나치게 작은 종목  주가수익배율 PER 이 지나치게 높은 일부 종목은 제외했다   이 중 최근  년동안 매년  가 넘는 EPS 증가율을 기록했거나  지난해   이상의 EPS 성장을 기록한 종목  개를  명품 주식  그룹 으로 선정했다  에스원  오뚜기  계룡건설  신세계  현대모비스  화천기계  강원랜드  한국타이어  현대자동차  삼양사  세아홀딩스  한라건설  현대산업  KT G  광동제약  삼환기업  한국카본  현대제철  현대DSF  호텔신라 등이 포함된다   또  개 종목에는 들지 못했고  특정시기에 일시적으로 EPS 호전 추세가 둔화되기는 했지만  년 이후 흑자기조 속에 EPS의 전반적인 증가추세를 유지해온 업종대표급 종목  개를  명품 주식  그룹 으로 꼽았다  삼성정밀  유한양행  제일기획  제일모직  KCC  태평양  포스코  한국포리올  GS건설  SK가스 등이 여기에 속한다   정부장은  금융주는 실적 안정성을 갖추지 못해 단 한 종목도 명품 주식에 포함되지 못했다 고 밝혔다   김진우기자 jwkim kyunghyang com ],2006-04-19,5.7,1.0
102,102, 포스트 판교  노른자위 노려볼 만,2006.04.23 17:04,[ 포스트 판교  판교신도시 중소형 아파트 분양이 일단락되면서 부동산업계의 화두가 된 말이다  주택업체들이 판교를 피해 미뤄왔던 물량을 대거 공급하는 데다 소비자들도 판교에만 치중했던 눈길을 돌리고 있기 때문이다  이후 분양물량에는 성남 도촌지구 등 판교에 버금가는 입지를 갖춘 곳도 많아 선택의 폭도 넓다  분양일정과 조건 등을 꼼꼼히 따져보고 입지조건과 발전가능성을 고려해 내집마련 전략을 세워야 할 때다   서울 현대건설이 성수동 가에서  평형  가구를 내놓는다  지하철  호선 성수역에서 걸어서  분 거리이고 인근 뚝섬에 조성된  서울 숲 도 걸어서  분이면 갈 수 있다   층 이상은 한강도 볼 수 있다   GS건설은 마포구 하중동에서 분양을 준비하고 있다   평형  가구 중  가구가 일반분양된다   평형대는 한강 조망이 가능하다  지하철  호선 광흥창역을 걸어서 이용할 수 있다   롯데건설은 중구 황학동에서  가구 중  평형  가구를 분양한다  청계천 조망이 가능하고 지하철  호선 동대문역과  호선 신당역이 걸어서  분거리다   두산산업개발은 청계천에서 멀지 않은 동대문구 용두동 일대에 아파트  가구 중  가구 평형 를 공급할 예정이다  또 동부건설은 종로구 숭인 구역을 재개발해 짓는  가구 중  가구를 일반 분양한다   이들 지역은 관심 단지지만 당초 일정보다 분양이 지연돼 하반기에 공급될 가능성이 높다  은평구 진관내동에서는 대우건설과 SK건설 등이  여가구를 하반기에 분양할 예정이다  또 현대건설  동부건설 등은 진관외동에서  여가구를 쏟아낼 계획이다   수도권 택지지구 판교와 분당 인근에 자리잡고 있어 미니판교로 불릴 만큼 관심이 높은 성남 도촌지구에서 분양이 기다리고 있다  이곳에서는 모두  가구가 공급될 예정인데  올해 선보일 물량은 주택공사가 다음달 내놓은  가구다  청약저축 가입자를 대상으로  평형과  평형이 공급되며  년  월 일 이전 성남시 거주자에게  가구 가 우선 배정된다  분양가는 정해지지 않았지만 평당  천 백만원 안팎으로 전망된다   화성 향남지구에서는 풍림산업  우미건설  우방 등  개 업체가 다음달  일  가구를 동시분양할 예정이다  발안산업단지  향남제약단지 등이 있어 지역 실수요자의 관심이 높은 곳이다   청계산 자락 백운호수 근처에 웰빙형 주거단지로 조성되는 의왕 청계지구에서는  월 주공 국민임대아파트  가구가 공급된다  공공분양 아파트  가구는  월쯤 선보일 예정이다  서울외곽순환도로 분기점과 지하철  호선 인덕원역이 승용차로  분 거리다   하남 풍산지구에서 하남시도시개발공사가 다음달  일 견본주택을 열고  가구를 분양한다  분양 물량의 대부분을 차지하는  평형 가구 의 경우 분양가 상한제가 적용돼 분양가 평당  천만원 이하 예상 가 쌀 것으로 보인다  민간아파트 가운데 동원ENG는  평형  가구를 다음달쯤 선보일 예정이다   용인권 토지공사가 개발하는 공공택지지구인 흥덕지구에서 오는  월과  월 민간임대  가구와 국민임대  가구가 공급된다  연말쯤에는 경기지방공사 등이 전용면적  평 이하  가구  경남기업 등이 전용  평 초과  가구를 분양할 예정이다  경부고속도로 수원IC 서쪽에 자리잡고 있으며 광교신도시와 가깝다   용인권에서는 판교 후광효과를 노린 민간분양이 줄을 잇는다  판교 인접 지역이라는 이점과 함께 서울 용인 및 분당 수서고속도로 등  개 도로가 신설 또는 확장되고 신분당선 연장선도  년 개통될 예정이어서 관심이 더 커지고 있다   GS건설은 성복동에서 다음달 이후  가구를 공급할 예정이다  그러나 민간 택지에서는 분양이 다소 미뤄질 가능성도 있음을 염두해 둬야 한다   박재현기자 parkjh kyunghyang com ],2006-04-24,-1.49,0.0
103,103,건설주 고공행진 언제까지,2006.04.23 17:38,[ 건설주의 강세가 이어지고 있다  실적 개선 기대감에 인수 합병 M A  이슈가 맞물리면서 업종지수가 외환위기 IMF  이후 가장 높은 수준에 올라섰다   오일 머니 에 의한 중동 특수도 건설업황에 호재다   전문가들은  건설주가 최근 많이 오른 데 따른 부담은 있지만 국내 건설경기의 점진적인 회복세와 장기 성장성을 고려할 경우 추가 상승이 가능하다 고 진단했다   업종지수 급상승 지난 주말 유가증권시장에서 건설업종지수는 전날보다   오른  로 마감되면서  일 거래일 기준  연속 상승했다  올들어 건설업종지수는 지난  월초를 저점으로 꾸준히 강세를 이어왔다   월 들어서만   뛰어오르면서 업종지수 가운데 가장 높은 상승률을 보였다   한국투자증권 강문성 연구원은  통신에 이어 건설업종이 급상승의 바통을 이어받고 있다 면서  통신과 건설 업종은 시장에서 소외되거나 저평가됐던 업종이면서 환율 및 국제유가 변동에 대해 비교적 자유로운 업종 이라고 설명했다   실적 업황 M A 증시분석가들은 실적 개선 기대감과 건설경기 회복  양호한 수주 등을 건설주 상승세의 요인으로 꼽는다  개별 기업별로 추진중인 M A 이슈도 강하게 작용하고 있다  최근 인수 후보업체들의 실사작업이 재개된 대우건설은 지난주   가까이 급등하면서  주 신고가를 경신했고  현대건설도 M A 기대감이 커지면서  일 연속 올랐다   중동 특수도 주가에 탄력을 더하고 있다는 분석이다  우리나라 해외수주는 지난해  백 억달러를 기록하면서  년 외환위기 이후 처음으로  백억달러를 돌파했다  이 중  억달러 가 중동지역이다  SK증권 원종혁 연구원은  국제유가의 고공행진에 힘입은 중동 산유국들의 풍부한 오일 머니가 사회기반시설 투자에 쓰이면서 국내 건설업체의 수주확대로 이어지고 있다 고 설명했다   국내 건설경기가 점진적으로 회복세를 보이고 있는 점도 긍정적이다  삼성증권에 따르면 건설업종 체감경기를 나타내는 건설기업 경기실사지수 CBSI   월 전망은 기준선  을 크게 웃도는  을 기록했다  또 올  월까지의 건설수주액도 지난해 같은 기간보다   증가하는 등 건설경기선행지표도 양호한 것으로 나타났다   추가 상승에 무게 증시전문가들은 건설주들의 상승세가 당분간 이어질 수 있다고 내다봤다  대우증권 이창근 연구원은  국내총생산 GDP 에서 건설투자 기여율이 상향 추세를 보이고 있고  중동 특수와 긍정적인 부동산 경기 움직임 등을 감안하면 건설주의 상승세가 내년  분기까지 지속될 것 이라고 밝혔다  그는 또  건설업체들의 재무 인력 사업 구조조정이 괄목할만한 성과를 보이고 있음에도 업종지수가 외환위기 이전 수준을 회복하지 못하고 있는 점을 주목해야 한다 고 덧붙였다   삼성증권 허문옥 연구원은  업종내 최선호종목인 현대산업개발  대림산업  GS건설에 대한 지속적인 관심과 함께  년부터 실적 개선이 가능하고 저평가 매력이 있는 동부건설  태영  코오롱건설 등 중소형주에 대한 선별투자가 바람직하다 고 강조했다   김진우기자 jwkim kyunghyang com ],2006-04-24,-1.49,0.0
104,104,인천 운북지구  홍콩형 관광단지  개발,2006.04.24 18:04,[ 인천 중구 영종도 운북복합레저단지가 오는  년까지 홍콩형 관광단지로 개발된다   일 인천도시개발공사에 따르면 운북지구내  만평에 대한 사업제안서 평가 결과 리포그룹 컨소시엄이 우선협상대상자로 선정됐다   세계  위의 화상 그룹인 리포 Lippo  그룹은 앞으로  조원의 화교자본을 유치해  층짜리 빌딩  개를 짓고 고급주택단지와 한 화 문화교류센터  국제교육센터  명품쇼핑몰 등을 유치키로 했다  또 중국  개 성과 동남아에 있는 리포종합 물류센터와 연계  수도권 일대 중소기업의 수출도 지원할 계획이다   리포그룹은 인도네시아에 본사를 두고 있으며  여개의 자회사를 거느리고 있는 세계  위의 화상 그룹이다  리포그룹 컨소시엄에는 GS건설  SK건설  포스코건설  우리은행 등 국내  개 기업과 일본의 요리전문학원인 핫도리  미국 다국적 기업 G  등이 투자 파트너로 참여한다  인천도시개발공사는 이번 평가결과에 따라 리포그룹과 개발방안 등에 대한 협상을 진행한 뒤 합의결과에 따라 다음달 말까지 합작계약을 체결할 예정이다  또 이번 계약에 따라 설립되는 합작법인이  월부터 운북지구에 대한 본격적인 개발을 추진하게 된다   한대광기자 ],2006-04-25,-1.65,0.0
105,105,SK CJ 등  년째  존경받는 기업 ,2006.04.26 18:08,[ 정유분야의 SK  식품분야의 CJ  할인점 부문의 이마트 등이  년 연속  존경받는 기업  위 에 꼽혔다  삼성전자는 통신기기제조와 가전  개 부문에서  년 연속  위를 지켰다   한국능률협회컨설팅은 산업계 간부  명  증권사 애널리스트  명을 대상으로  산업별 한국에서 가장 존경받는 기업 을 선정한 결과 이같이 나타났다고  일 밝혔다   또 포스코 철강  SK텔레콤 통신서비스  LG석유화학 석유화학 기초화합물  효성 섬유 합성섬유  신세계 백화점  GS리테일 편의점  태평양 화장품  삼천리 도시가스  등도  년 연속 각 산업별  위 기업으로 선정됐다   삼성계열사인 삼성SDI 전자부품  삼성물산 종합상사  삼성SDS 정보기술서비스  삼성생명 생명보험  등도  년 연속 각 산업별  위 기업에 포함됐다   제일모직 의류  LG생활건강 생활용품  현대중공업 조선  GS건설 건설  CJ홈쇼핑 TV홈쇼핑  현대카드 신용카드  한국전력공사 공기업  등은 올해 새롭게 존경받는  위 기업에 가세했다   능률협회컨설팅 관계자는  끊임없는 혁신과 경쟁력을 바탕으로 경영성과를 일궈 사회 친화적으로 활동한 기업이라는 게 존경받는 기업들의 공통점 이라고 말했다   문성현기자 muns kyunghyang com ],2006-04-27,-0.97,0.0
106,106,남산골에도 주상복합 아파트촌,2006.04.30 17:31,[ 서울 중구 회현동과 충무로 일대가 남산 조망이 가능한 고급 주상복합아파트촌으로 탈바꿈한다   일 부동산업계에 따르면 올해 서울 회현동과 충무로  개 사업지에서 주상복합아파트  여가구가 쏟아진다   이 지역은 종전까지 상업시설이 대부분이었으나 최근 도시환경정비사업 옛 도심재개발 이 활발히 진행되며 주상복합아파트 타운으로 변신하고 있는 것이다  특히 일부 저층을 제외하고는 대부분 남산을 바라볼 수 있어  조망권 아파트 로도 관심을 끌고 있다   쌍용건설은 남산  호터널 입구 LG CNS사옥 옆 주차장 터에 플래티넘 주상복합아파트  가구를 짓는다  지상  층 지상  층  개동으로  평형의 대형으로만 꾸며 고급 아파트 수요를 흡수할 계획이다  오는  월말 분양하며 분양가는 평당  천만원 정도로 잡고 있다   쌍용건설 이철 팀장은  남산까지 산책로가 조성되고  거의 전 가구가 남산을 바라볼 수 있다는 게 최대 장점 이라며  남대문시장과 중국 상인 등을 주요 판매 대상으로 삼고 있다 고 말했다   SK건설은 중구 회현동 우리은행 본점 옆 회현 구역을 재개발해 리더스 뷰 주상복합아파트  가구를  월중에 분양한다  지상  층  개동으로  평형의 대형평형만 넣는다  현재 관리처분계획 공람공고중이다   회사 관계자는  명동  신세계백화점  남대문시장 등 상업시설이 가깝고  남산을 볼 수 있어 주거상품으로도 손색이 없다 고 말했다   군인공제회도 회현동 우리은행 본점 인근 회현 지구를 개발해 올  월께 주상복합아파트를 분양할 계획이다  총  여가구가 들어서는데   가구가 넘는 주택법 적용 대상이어서 쌍용  SK건설과 달리 일부 소형평형이 배정된다   GS건설은 중구 충무로 삼성제일병원 맞은편에  충무로 자이  주상복합아파트를  월말 분양한다  지하  층 지상  층   평형  가구로 지하철 충무로역과 을지로 가역이 걸어서  분 정도 걸린다  북측으로는 청계천과 종묘  남측으로는 남산 녹지대가 보인다   GS건설 관계자는  도심권에 남산 조망권을 장점으로 한 고급 주상복합아파트가 속속 들어서면서 새로운 주거타운으로 자리잡을 것 이라고 말했다   박재현기자 parkjh kyunghyang com ],2006-05-02,-2.05,-1.0
107,107,충청권  식지않는 행정도시 열기 ,2006.05.07 17:20,[ 충청권은 지난해에 이어 올해도 부동산 상승세가 두드러진 곳이다  수도권은 강력한 규제로 인해 분양이 상당히 까다로워졌지만 충청권은 행정중심복합도시 이전과 기업도시 유치  아산신도시 건설 등 개발재료가 풍부한 지역으로 꼽힌다  특히 최근엔 행정도시 건설계획 시안까지 확정돼 이 지역에 대한 관심도 높아지고 있다  부동산 포털 스피드뱅크 www speedbank co kr 에 따르면 올  월부터  월까지 충청권에서 공급되는 아파트는  곳   만 천 백 가구나 된다   주택시장에서 충청권이 각광을 받고는 있지만 과도한 분양가 상승  과잉공급으로 인한 미분양 문제  전매제한 기간 적용 등을 따져서 결정하는 것이 바람직하다   공주 연기 행정도시가 들어서는 충남 공주는  곳에서  가구  연기군은  곳  가구가 연말까지 공급될 예정이다  대림산업 계열사인 삼호는 공주시 금학동에  평형  가구를 이달 분양한다  단지 인근에 봉황초  공주여고  공주대  공주교대 등이 있어 걸어서 통학이 가능하다  GS건설도 충남 연기군 조치원읍에  평형  가구를 이달 분양한다  단지 인근에 조치원고  고려대 서창캠퍼스가 있어 걸어서 통학할 수 있다  경부 호남 고속철도 노선이 만나는 오송역과 가까워 쉽게 이용할 수 있어 수도권으로 출퇴근이 가능하다   천안 아산 행정도시 인근인 천안시에서는 올 말까지  만 천 가구가 일반 분양될 전망이다  경남기업은 이달 천안시 청수동에서  평형  가구를 공급할 계획이다  한라건설도 오는  월 천안 용곡동에서  평형  가구의 공급을 준비 중이다   아산에서는  곳에서  가구가 일반분양 되는 것으로 집계됐다  아산에는 배방지구와 탕정지구를 합친  백 만평 규모로 신도시가 조성된다   대전광역시 지난  월 처음으로 지하철이 들어선 대전에는  곳에서  가구가 연말까지 공급될 전망이다  유성구  가구  동구  가구  중구  가구가 분양될 예정이다  경남기업은 유성구 관평동에서  평형 등 대형 위주의 아파트를 이달 공급할 예정이며  대우건설도 관평동에서  평형  가구를  월 중 공급할 계획이다   김근철기자 kckim kyunghyang com ],2006-05-08,0.27,0.0
108,108,GS건설  안전사고 막는데 돈 안아낄것 ,2006.05.11 18:15,[ 무한대 투자를 해서라도 반드시 안전사고는 막겠다   GS건설 김갑렬 사장은  일 저녁 서울 삼성동 인터컨티넨탈호텔에서 가진 기자간담회에서 이례적으로 회사의  치부 를 드러내면서 안전의 중요성을 강조했다   그는 이천물류단지 공사 중 대규모 사망사고를 언급한 뒤 하청을 받은  삼성건설의 공법과 관리에 큰 문제가 있다는 것은 사실이지만 어쨌든 우리 현장에서 큰 사고가 생겼다 며  더이상 이러한 사고가 있어서는 안되겠다는 생각에  백 억원을 들여 경기 용인에 안전혁신학교를 세웠다 고 말했다  김사장은  안전학교는 산업안전공단에서도 감탄할 정도로 회사 및 협력업체 직원이 실질적으로 사고 위험성을 체험하는 공간 이라며  이러한 교육의 효과가 올 하반기부터 나타날 것 이라고 덧붙였다   그는 또  해외사업 다각화를 통해 해외에서도 고부가가치를 창출할 것 이라며  이를 위한 기초작업으로 환리스크를 줄이는 시스템 구축을 해 왔고 이를 통해 지난  분기 올린 환차익만  백억원에 이른다 고 강조했다   정부의 부동산정책에 대해서는 부정적 입장을 보였다  그는  전세를 빼든가 집을 팔아야 하는 상황에서 매매가 원활치 않아 새 아파트에 입주하지 못하는 상황이 벌어지고 있다 면서  주택시장은 한번 동맥경화에 걸리면 빠져나오기 힘들다 고 우려했다   박재현기자 parkjh kyunghyang com ],2006-05-12,-3.56,-1.0
109,109,미분양도 잘고르면 알짜 금융등 혜택많아,2006.05.14 17:02,[ 하반기 내집 마련을 계획하고 있는 수요자라면 수도권  가구 이상 대단지 미분양 아파트로 눈을 돌려보자   부동산뱅크 길진홍 팀장은  미분양은 청약통장이 필요 없고 대부분 건설사들이 중도금 무이자융자 등의 금융혜택을 내걸어 목돈을 들이지 않고 구입할 수 있다 면서  특히  가구 이상 대단지의 경우 생활편익은 물론 교육  교통여건이 뛰어나 관심을 가져볼 만하다 고 말했다   오산시 청호동 GS자이 GS건설이 지난해  월 분양한 아파트로  평형  가구 중  평형  가구가 미분양으로 남아 있다  분양가는  억 천 백 만원선이다  계약금  이며 중도금  를 무이자 융자해준다  수원 천안간 수도권전철 오산역과 경부고속도로 오산IC   번 국도가 인접해 있다  롯데마트 등의 생활편의시설이 잘 갖추어져 있다  입주는  년  월 예정이다   의정부시 가능동 SK뷰 SK건설이 지난해  월 공급한 재건축 물량으로  가구 중  가구를 일반분양했다  이 가운데  평형  가구   평형  가구가 남아 있다   평형 분양가는  억 천 백 만원   평형은  억 천 만원선이다   계약금은  이며 중도금  까지 무이자 대출이 가능하다  국철 호선 의정부북부역이 걸어서  분 거리다  입주예정은  년  월   화성시 봉담읍 임광그대가 차 임광토건이 지난  월 선보인 아파트다   평형  가구로  차  가구와 합쳐  여가구의 대단지를 이룬다   평형  가구   평형  가구가 주인을 기다리고 있다  분양가는  평형  억 천 백만원   평형  억 천 백만원이다  계약금은  이며  중도금  가 이자후불제로 지원된다  국철 호선 병점역이 가깝고 봉담 과천간 고속화도로를 이용해 서울 진입이 수월하다   년  월 입주예정이다   인천시 가좌동 한신휴플러스 한신공영이 지난해  월  평형  가구 중  가구를 일반분양한 곳으로 현재  평형  가구   평형  가구   평형  가구   평형  가구가 남아 있다  계약금  이며 중도금은  까지 무이자로 대출받을 수 있다  분양가는  평형  억 천 백 만원   평형  억 천 백 만원   평형  억 천 백 만원   평형  억 천 백 만원이다   국철  호선 백운역이 가깝고 경인고속도로 가좌IC가 인접해 있다  홈플러스  월마트  롯데백화점 등의 생활편익시설이 갖춰져 있다   년  월 입주예정이다   인천시 송림동 풍림아이원 풍림산업이 지난해  월 동구 송림동 일대를 재개발해  가구 중  가구를 일반에 내놓았다   평형  가구   평형  가구가 미분양으로 남아 있다  계약금  에 중도금  까지 무이자융자가 가능하다   분양가는  평형  천 백 만원   평형  억 천 백 만원이다  경인고속도로 가좌IC를 통해 인천도심 및 수도권 진입이 수월하고  국철 동인천역과 제물포역을 버스로 이용할 수 있다  입주는  년  월 예정이다   박재현기자 parkjh kyunghyang com ],2006-05-15,-2.7,-1.0
